YEAR,DISTRICT,SCHOOL,DISTRICT_NAME,SCHOOL_NAME_LONG,CHARTER_SCHL_STAT,TITLE_1
2425,1,21,ALACHUA,CHARLES W. DUVAL ELEMENTARY SCHOOL,Z,N
2425,1,22,ALACHUA,EARLY LEARNING ACADEMY AT DUVAL,Z,N
2425,1,31,ALACHUA,CAROLYN BEATRICE PARKER ELEMENTARY,Z,Y
2425,1,41,ALACHUA,STEPHEN FOSTER ELEMENTARY SCHOOL,Z,Y
2425,1,52,ALACHUA,A.QUINN JONES CENTER,Z,Y
2425,1,71,ALACHUA,LAKE FOREST ELEMENTARY SCHOOL,Z,Y
2425,1,81,ALACHUA,SIDNEY LANIER CENTER,Z,Y
2425,1,82,ALACHUA,HOSPITAL HOMEBOUND,Z,N
2425,1,83,ALACHUA,ANCHOR SCHOOL,Z,N
2425,1,91,ALACHUA,LITTLEWOOD ELEMENTARY SCHOOL,Z,Y
2425,1,101,ALACHUA,W. A. METCALFE ELEMENTARY SCHOOL,Z,Y
2425,1,111,ALACHUA,JOSEPH WILLIAMS ELEMENTARY SCHOOL,Z,Y
2425,1,112,ALACHUA,ABRAHAM LINCOLN MIDDLE SCHOOL,Z,N
2425,1,121,ALACHUA,HOWARD W. BISHOP MIDDLE SCHOOL,Z,N
2425,1,141,ALACHUA,WESTWOOD MIDDLE SCHOOL,Z,N
2425,1,151,ALACHUA,GAINESVILLE HIGH SCHOOL,Z,N
2425,1,152,ALACHUA,FLORIDA ONLINE HIGH SCHOOL,Z,N
2425,1,161,ALACHUA,ALACHUA ELEMENTARY SCHOOL,Z,Y
2425,1,171,ALACHUA,ARCHER ELEMENTARY,Z,Y
2425,1,201,ALACHUA,HAWTHORNE MIDDLE/HIGH SCHOOL,Z,Y
2425,1,221,ALACHUA,A. L. MEBANE MIDDLE SCHOOL,Z,N
2425,1,261,ALACHUA,NEWBERRY HIGH SCHOOL,Z,N
2425,1,271,ALACHUA,SANTA FE HIGH SCHOOL,Z,N
2425,1,281,ALACHUA,CHESTER SHELL ELEMENTARY SCHOOL,Z,Y
2425,1,291,ALACHUA,WALDO COMMUNITY SCHOOL,Z,N
2425,1,311,ALACHUA,MYRA TERWILLIGER ELEMENTARY SCHOOL,Z,Y
2425,1,321,ALACHUA,IDYLWILD ELEMENTARY SCHOOL,Z,Y
2425,1,331,ALACHUA,GLEN SPRINGS ELEMENTARY SCHOOL,Z,Y
2425,1,341,ALACHUA,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,Z,Y
2425,1,342,ALACHUA,TRAFFIC SAFETY CENTER,Z,N
